1088| | 19|tau5|Eri|03 33 47.2|-21 37 59| 44.20|-39.44|  296| 4.28|B8V+B8V            |
1101| | 10|    |Tau|03 36 52.3|+00 24 06| 51.95|-18.44|   45| 4.28|F9V                | 2
1106| |   |    |   |03 37 05.6|-40 16 29| 34.93|-57.09|  232| 4.58|K1III              |
1122| | 39|del |Per|03 42 55.4|+47 47 15| 64.80| 27.30|  543| 3.01|B5III              | 2
1123| | 40|    |Per|03 42 22.5|+33 57 54| 61.13| 13.91| 1211| 4.97|B0.5V              | 2
1129| |   |    |   |03 46 02.3|+63 20 42| 70.49| 42.16|  162| 4.79|G0III+A3V          | 2
1131| | 38|omi |Per|03 44 19.1|+32 17 18| 61.14| 12.18|  779| 3.83|B1III              | 2
1134| |   |del |For|03 42 14.9|-31 56 18| 41.97|-49.80|  564| 5.00|B5IV               |
1135| | 41| nu |Per|03 45 11.6|+42 34 43| 63.82| 22.15|  510| 3.80|F5II               | 2
1136| | 23|del |Eri|03 43 14.8|-09 45 48| 50.86|-28.68|   29| 3.54|K0+IV              |
1142|*| 17|    |Tau|03 44 52.5|+24 06 48| 59.41|  4.19|  407| 3.70|B6IIIe             | 2
1143| |   |    |   |03 42 50.0|-37 18 49| 38.91|-54.84|  181| 4.59|K2.5III            | 2
1145|*| 19|    |Tau|03 45 12.4|+24 28 02| 59.56|  4.52|  407| 4.30|B6IV               | 3
1148| |   |gam |Cam|03 50 21.5|+71 19 57| 74.65| 49.62|  362| 4.66|A2IVn              | 3
1149|*| 20|    |Tau|03 45 49.5|+24 22 04| 59.68|  4.39|  362| 3.87|B8III              | 2
1155| |   |    |   |03 49 31.2|+65 31 34| 71.87| 44.13|  243| 4.48|M2IIab             |
1156|*| 23|    |Tau|03 46 19.5|+23 56 54| 59.70|  3.96|  362| 4.18|B6IVe              |
1162| | 26| pi |Eri|03 46 08.4|-12 06 06| 50.96|-31.12|  543| 4.42|M2III              |
1165|*| 25|eta |Tau|03 47 29.0|+24 06 18| 59.99|  4.05|  407| 2.87|B7IIIe             | 5
1173| | 27|tau6|Eri|03 46 50.8|-23 14 59| 47.36|-41.89|   59| 4.23|F3III              |
1175| |   |bet |Ret|03 44 12.0|-64 48 26|351.39|-76.09|  101| 3.85|K1-2III            | 2
1178|*| 27|    |Tau|03 49 09.7|+24 03 12| 60.36|  3.92|  407| 3.62|B8III              | 3
1190| |   |    |   |03 48 35.8|-37 37 14| 40.56|-55.56|  163| 4.86|B9V                | 2
1195| |   |    |   |03 49 27.2|-36 12 01| 41.76|-54.31|  217| 4.17|G9II-III           |
1203| | 44|zet |Per|03 54 07.9|+31 53 01| 63.12| 11.33|  932| 2.85|B1Ib               | 5
1205| |   |    |   |03 57 08.2|+61 06 32| 71.31| 39.65|  332| 5.00|K3I-II             | 2
1208| |   |gam |Hyi|03 47 14.5|-74 14 21|310.47|-76.76|  217| 3.24|M2III              |
1212| | 32|    |Eri|03 54 17.4|-02 57 17| 55.63|-22.72|  362| 4.79|G8III              | 3
1213| | 33|tau8|Eri|03 53 42.6|-24 36 45| 48.87|-43.65|  407| 4.65|B6V                |
1220| | 45|eps |Per|03 57 51.2|+40 00 37| 65.68| 19.11|  543| 2.89|B0.5V+A2V          | 3
1228| | 46| xi |Per|03 58 57.8|+35 47 28| 64.97| 14.94| 2624| 4.04|O7e                |
1231|*| 34|gam |Eri|03 58 01.7|-13 30 31| 53.87|-33.20|  232| 2.94|M0.5IIICa-ICr-I    | 2
1239| | 35|lam |Tau|04 00 40.8|+12 29 25| 60.63| -7.96|  407| 3.41|B3V+A4IV           |
1240| | 36|tau9|Eri|03 59 55.4|-24 00 59| 50.97|-43.47|  362| 4.66|B6V+B9.5V          |
1247| |   |del |Ret|03 58 44.7|-61 24 01|  7.06|-75.91|  543| 4.56|M2IIIab            |
1251| | 38| nu |Tau|04 03 09.3|+05 59 22| 59.92|-14.45|  130| 3.91|A1V                |
1256| | 37|    |Tau|04 04 41.7|+22 04 55| 63.46|  1.26|  181| 4.37|K0III              | 2
1261| | 47|lam |Per|04 06 35.0|+50 21 05| 69.75| 28.89|  362| 4.29|A0IVn              |
1264| |   |gam |Ret|04 00 53.8|-62 09 34|  4.97|-76.54|  543| 4.51|M4III              |
1266| |   |iot |Ret|04 01 18.2|-61 04 44|  8.86|-75.98|  362| 4.97|K4III              |
1273| | 48|    |Per|04 08 39.6|+47 42 45| 69.50| 26.24|  299| 4.03|B3Ve               |
1298| | 38|omi1|Eri|04 11 51.9|-06 50 16| 59.43|-27.45|  130| 4.05|F2II-III           |
1302| |   |del |Hor|04 10 50.5|-41 59 37| 44.92|-61.23|  181| 4.93|A9V                |
1303| | 51| mu |Per|04 14 53.8|+48 24 34| 70.79| 26.71| 1833| 4.16|G0Ib               | 5
1306| | 52|    |Per|04 14 53.3|+40 29 02| 69.15| 18.93| 2361| 4.71|G5Ib+A2V           |
1311| | 47|    |Tau|04 13 56.3|+09 15 49| 63.25|-11.75|  407| 4.84|G5III              | 3
1318| | 39|    |Eri|04 14 23.6|-10 15 23| 59.33|-30.93|  217| 4.86|K3III              | 3
1320| | 49| mu |Tau|04 15 32.0|+08 53 32| 63.58|-12.18|  465| 4.28|B3IV               |
1324| |   |    |   |04 18 14.6|+50 17 44| 71.81| 28.45|  326| 4.61|A2V                |
1325| | 40|omi2|Eri|04 15 16.3|-07 39 10| 60.18|-28.42|   16| 4.43|K1V                | 5
1326| |   |alf |Hor|04 14 00.1|-42 17 40| 45.82|-61.73|  120| 3.86|K1III              |
1329| | 50|omg2|Tau|04 17 15.6|+20 34 43| 66.06| -0.75|   95| 4.95|A3m                | 2
1336| |   |alf |Ret|04 14 25.5|-62 28 26|  7.51|-78.04|  171| 3.35|G8II-III           | 2
1338| |   |gam |Dor|04 16 01.6|-51 29 12| 36.55|-70.14|   66| 4.25|F4III              |
1343| | 54|    |Per|04 20 24.6|+34 34 00| 69.17| 12.91|  232| 4.93|G8III              | 2
1346| | 54|gam |Tau|04 19 47.5|+15 37 39| 65.81| -5.73|  155| 3.65|K0-IIIabCN1        |
1347| | 41|ups4|Eri|04 17 53.6|-33 47 54| 52.50|-53.96|  181| 3.56|B9V                | 3
1348| | 52|phi |Tau|04 20 21.2|+27 21 03| 67.91|  5.80|  362| 4.95|K1III              | 2
1350| | 53|    |Per|04 21 33.1|+46 29 56| 71.62| 24.62|  465| 4.86|B4IV               |
1355| |   |eps |Ret|04 16 28.9|-59 18 07| 19.61|-76.32|   60| 4.44|K2IVa              | 2
1373| | 61|del1|Tau|04 22 56.0|+17 32 33| 66.87| -3.97|  155| 3.76|K0IIICN0.5         | 3
